STEMMING,tokenized_sents,polarity_score,polarity
biskichoff kdrt versi lite,"['biskichoff', 'kdrt', 'versi', 'lite']",0,1
kenap masalah rumah tangga tidak selingkuh ya kdrt,"['kenap', 'masalah', 'rumah', 'tangga', 'tidak', 'selingkuh', 'ya', 'kdrt']",-14,-1
tanyakanrl prosesi orang tahu acara nikah mirip tidak praktik sampai gin ngabisin duit tekan sudah paham tanggungjawab hak wajib nikah kalau cerai dilakuin kalau dapat kdrt bagaimana,"['tanyakanrl', 'prosesi', 'orang', 'tahu', 'acara', 'nikah', 'mirip', 'tidak', 'praktik', 'sampai', 'gin', 'ngabisin', 'duit', 'tekan', 'sudah', 'paham', 'tanggungjawab', 'hak', 'wajib', 'nikah', 'kalau', 'cerai', 'dilakuin', 'kalau', 'dapat', 'kdrt', 'bagaimana']",-19,-1
ndrewstjan ambil poin saja si tahan rumah tangga usaha turun ego kelas parenting sudah bilang juga untuk tahan kalau bukan kdrt psgn ubah,"['ndrewstjan', 'ambil', 'poin', 'saja', 'si', 'tahan', 'rumah', 'tangga', 'usaha', 'turun', 'ego', 'kelas', 'parenting', 'sudah', 'bilang', 'juga', 'untuk', 'tahan', 'kalau', 'bukan', 'kdrt', 'psgn', 'ubah']",-19,-1
hellosnzh karena mental anak tidak hanya rusak karena cerai orang tahu banyak yang orang tua nya masih sama2 mental anak rusak karena ribut orang tua yang terus kdrt selingkuh terus saya bner2 selektif dalam pilih psngan,"['hellosnzh', 'karena', 'mental', 'anak', 'tidak', 'hanya', 'rusak', 'karena', 'cerai', 'orang', 'tahu', 'banyak', 'yang', 'orang', 'tua', 'nya', 'masih', 'sama2', 'mental', 'anak', 'rusak', 'karena', 'ribut', 'orang', 'tua', 'yang', 'terus', 'kdrt', 'selingkuh', 'terus', 'saya', 'bner2', 'selektif', 'dalam', 'pilih', 'psngan']",-51,-1
bbbcuttie moonareas kdrt,"['bbbcuttie', 'moonareas', 'kdrt']",0,1
alas kdrt selingkuh bicara saya,"['alas', 'kdrt', 'selingkuh', 'bicara', 'saya']",-8,-1
arunajrid bintara ba tanyakanrl tidak bro ngue punya teman tidak mah cerita ttng rumah tangga tutup aib suami cerai dari situ saya dengar cerita ngeri kdrt lahir batin anak2 nsebaiknya cerai kalau sudah mirip begitu tidak sehat untuk mental anak anak,"['arunajrid', 'bintara', 'ba', 'tanyakanrl', 'tidak', 'bro', 'ngue', 'punya', 'teman', 'tidak', 'mah', 'cerita', 'ttng', 'rumah', 'tangga', 'tutup', 'aib', 'suami', 'cerai', 'dari', 'situ', 'saya', 'dengar', 'cerita', 'ngeri', 'kdrt', 'lahir', 'batin', 'anak2', 'nsebaiknya', 'cerai', 'kalau', 'sudah', 'mirip', 'begitu', 'tidak', 'sehat', 'untuk', 'mental', 'anak', 'anak']",-33,-1
angewwie bagai anak dari broken home family thissss is a bullshit at least for mine saya bhkan tidak baca lebih untung nge klaim affair kdrt wkwkwk,"['angewwie', 'bagai', 'anak', 'dari', 'broken', 'home', 'family', 'thissss', 'is', 'a', 'bullshit', 'at', 'least', 'for', 'mine', 'saya', 'bhkan', 'tidak', 'baca', 'lebih', 'untung', 'nge', 'klaim', 'affair', 'kdrt', 'wkwkwk']",-3,-1
ndrewstjan i m a teenager not married yet but wajar cerai dripda toxic marriage like my parents there s no affair tidak kdrt they re just not for each other they couldn t understand each other and like i said umur hidup,"['ndrewstjan', 'i', 'm', 'a', 'teenager', 'not', 'married', 'yet', 'but', 'wajar', 'cerai', 'dripda', 'toxic', 'marriage', 'like', 'my', 'parents', 'there', 's', 'no', 'affair', 'tidak', 'kdrt', 'they', 're', 'just', 'not', 'for', 'each', 'other', 'they', 'couldn', 't', 'understand', 'each', 'other', 'and', 'like', 'i', 'said', 'umur', 'hidup']",-11,-1
ndrewstjan but satu 2 pikir orang dewasa juga susah rawan sangat kdrt nahkoda sudah goyang memang dilema berat inti pilih pasang kenal saya sangat liat posisi tante saya cerai parah trauma,"['ndrewstjan', 'but', 'satu', '2', 'pikir', 'orang', 'dewasa', 'juga', 'susah', 'rawan', 'sangat', 'kdrt', 'nahkoda', 'sudah', 'goyang', 'memang', 'dilema', 'berat', 'inti', 'pilih', 'pasang', 'kenal', 'saya', 'sangat', 'liat', 'posisi', 'tante', 'saya', 'cerai', 'parah', 'trauma']",-25,-1
skeptisyit kdrt seru rumah tangga,"['skeptisyit', 'kdrt', 'seru', 'rumah', 'tangga']",0,1
kreidreprinz kena kdrt kakak,"['kreidreprinz', 'kena', 'kdrt', 'kakak']",-3,-1
efek kdrt perang dunia 3 https t co nptayvhrhi,"['efek', 'kdrt', 'perang', 'dunia', '3', 'https', 't', 'co', 'nptayvhrhi']",-1,-1
orngautmnprds wiridkh menghanyurkan paradigma teologi yang pakai dalam juga seperti kalau dipikir2 dosa si kalau paksa besar anak yang tidak nbs ujung2nya jadi telantar kdrt buang usir dimaki2 untuk lampias emosi,"['orngautmnprds', 'wiridkh', 'menghanyurkan', 'paradigma', 'teologi', 'yang', 'pakai', 'dalam', 'juga', 'seperti', 'kalau', 'dipikir2', 'dosa', 'si', 'kalau', 'paksa', 'besar', 'anak', 'yang', 'tidak', 'nbs', 'ujung2nya', 'jadi', 'telantar', 'kdrt', 'buang', 'usir', 'dimaki2', 'untuk', 'lampias', 'emosi']",-31,-1
angewwie cerai sakit tapi saya stuju anak korban yang banyak rugi tidak salah orang yang mmtskn brcerai mnylahkan laku yang mnybbkn cerai ksus selingkuh kdrt suami tidak kasih nafkah itulh cnth case cerai karena egois yang begitu tidak mkirin anakny,"['angewwie', 'cerai', 'sakit', 'tapi', 'saya', 'stuju', 'anak', 'korban', 'yang', 'banyak', 'rugi', 'tidak', 'salah', 'orang', 'yang', 'mmtskn', 'brcerai', 'mnylahkan', 'laku', 'yang', 'mnybbkn', 'cerai', 'ksus', 'selingkuh', 'kdrt', 'suami', 'tidak', 'kasih', 'nafkah', 'itulh', 'cnth', 'case', 'cerai', 'karena', 'egois', 'yang', 'begitu', 'tidak', 'mkirin', 'anakny']",-77,-1
m yunus dk amiiiinnn,"['m', 'yunus', 'dk', 'amiiiinnn']",0,1
